date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:15:49	30879/30879	---M--	200	added ('OK')	text/css	date:Sun,%2020%20Aug%202023%2014:29:05%20GMT	https://template.makedreamwebsite.com/wp-content/uploads/elementor/css/post-642.css?ver=1692541745	C:/Users/MOTIUR%20RAHMAN/Downloads/Slider/template.makedreamwebsite.com/wp-content/uploads/elementor/css/post-6420344.css	(from https://template.makedreamwebsite.com/advanced-slider-with-card-carousel/)
00:15:51	57912/57912	---M--	200	added ('OK')	text/css	date:Sun,%2020%20Aug%202023%2014:23:05%20GMT	https://template.makedreamwebsite.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/fontawesome.min.css?ver=5.15.3	C:/Users/MOTIUR%20RAHMAN/Downloads/Slider/template.makedreamwebsite.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/fontawesome.min52d5.css	(from https://template.makedreamwebsite.com/advanced-slider-with-card-carousel/)
00:15:51	669/669	---M--	200	added ('OK')	text/css	date:Sun,%2020%20Aug%202023%2014:23:05%20GMT	https://template.makedreamwebsite.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/solid.min.css?ver=5.15.3	C:/Users/MOTIUR%20RAHMAN/Downloads/Slider/template.makedreamwebsite.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/solid.min52d5.css	(from https://template.makedreamwebsite.com/advanced-slider-with-card-carousel/)
00:15:52	89501/89501	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-15d9d%22	https://code.jquery.com/jquery-3.6.0.min.js	C:/Users/MOTIUR%20RAHMAN/Downloads/Slider/code.jquery.com/jquery-3.6.0.min.js	(from https://template.makedreamwebsite.com/advanced-slider-with-card-carousel/)
00:15:54	36881/36881	---M--	200	added ('OK')	text/css	date:Wed,%2007%20Dec%202022%2023:33:12%20GMT	https://template.makedreamwebsite.com/wp-content/plugins/elementor-pro/assets/css/widget-carousel.min.css	C:/Users/MOTIUR%20RAHMAN/Downloads/Slider/template.makedreamwebsite.com/wp-content/plugins/elementor-pro/assets/css/widget-carousel.min.css	(from https://template.makedreamwebsite.com/advanced-slider-with-card-carousel/)
00:15:57	291138/291138	---M--	200	added ('OK')	image/jpeg	date:Thu,%2011%20Aug%202022%2005:08:19%20GMT	https://template.makedreamwebsite.com/wp-content/uploads/2022/08/photo-1505144808419-1957a94ca61e-1.jpg	C:/Users/MOTIUR%20RAHMAN/Downloads/Slider/template.makedreamwebsite.com/wp-content/uploads/2022/08/photo-1505144808419-1957a94ca61e-1.jpg	(from https://template.makedreamwebsite.com/advanced-slider-with-card-carousel/)
00:16:00	198087/198087	---M--	200	added ('OK')	image/jpeg	date:Thu,%2011%20Aug%202022%2005:08:20%20GMT	https://template.makedreamwebsite.com/wp-content/uploads/2022/08/freddie-addery-73IJOcPbbwM-unsplash-1.jpg	C:/Users/MOTIUR%20RAHMAN/Downloads/Slider/template.makedreamwebsite.com/wp-content/uploads/2022/08/freddie-addery-73IJOcPbbwM-unsplash-1.jpg	(from https://template.makedreamwebsite.com/advanced-slider-with-card-carousel/)
00:16:02	589474/589474	---M--	200	added ('OK')	image/jpeg	date:Thu,%2011%20Aug%202022%2005:08:19%20GMT	https://template.makedreamwebsite.com/wp-content/uploads/2022/08/qingbao-meng-01_igFr7hd4-unsplash-1.jpg	C:/Users/MOTIUR%20RAHMAN/Downloads/Slider/template.makedreamwebsite.com/wp-content/uploads/2022/08/qingbao-meng-01_igFr7hd4-unsplash-1.jpg	(from https://template.makedreamwebsite.com/advanced-slider-with-card-carousel/)
00:16:02	483428/483428	---M--	200	added ('OK')	image/jpeg	date:Thu,%2011%20Aug%202022%2005:08:20%20GMT	https://template.makedreamwebsite.com/wp-content/uploads/2022/08/benjamin-voros-phIFdC6lA4E-unsplash-1.jpg	C:/Users/MOTIUR%20RAHMAN/Downloads/Slider/template.makedreamwebsite.com/wp-content/uploads/2022/08/benjamin-voros-phIFdC6lA4E-unsplash-1.jpg	(from https://template.makedreamwebsite.com/advanced-slider-with-card-carousel/)
00:16:02	16732/16732	---M--	200	added ('OK')	application/javascript	date:Sat,%2025%20Jun%202022%2019:39:11%20GMT	https://template.makedreamwebsite.com/wp-content/themes/astra/assets/js/minified/frontend.min.js?ver=3.8.4	C:/Users/MOTIUR%20RAHMAN/Downloads/Slider/template.makedreamwebsite.com/wp-content/themes/astra/assets/js/minified/frontend.min688f.js	(from https://template.makedreamwebsite.com/advanced-slider-with-card-carousel/)
00:16:03	5629/5629	---M--	200	added ('OK')	application/javascript	date:Sat,%2025%20Jun%202022%2019:37:11%20GMT	https://template.makedreamwebsite.com/wp-includes/js/imagesloaded.min.js?ver=4.1.4	C:/Users/MOTIUR%20RAHMAN/Downloads/Slider/template.makedreamwebsite.com/wp-includes/js/imagesloaded.mineda1.js	(from https://template.makedreamwebsite.com/advanced-slider-with-card-carousel/)
00:16:04	5234/5234	---M--	200	added ('OK')	application/javascript	date:Wed,%2007%20Dec%202022%2023:33:12%20GMT	https://template.makedreamwebsite.com/wp-content/plugins/elementor-pro/assets/js/webpack-pro.runtime.min.js?ver=3.8.2	C:/Users/MOTIUR%20RAHMAN/Downloads/Slider/template.makedreamwebsite.com/wp-content/plugins/elementor-pro/assets/js/webpack-pro.runtime.min3fd0.js	(from https://template.makedreamwebsite.com/advanced-slider-with-card-carousel/)
00:16:06	472884/472884	---M--	200	added ('OK')	image/jpeg	date:Thu,%2011%20Aug%202022%2005:08:20%20GMT	https://template.makedreamwebsite.com/wp-content/uploads/2022/08/v2osk-iVjKHVVmzec-unsplash-1.jpg	C:/Users/MOTIUR%20RAHMAN/Downloads/Slider/template.makedreamwebsite.com/wp-content/uploads/2022/08/v2osk-iVjKHVVmzec-unsplash-1.jpg	(from https://template.makedreamwebsite.com/advanced-slider-with-card-carousel/)
00:16:06	4958/4958	---M--	200	added ('OK')	application/javascript	date:Sun,%2020%20Aug%202023%2014:23:05%20GMT	https://template.makedreamwebsite.com/wp-content/plugins/elementor/assets/js/webpack.runtime.min.js?ver=3.15.3	C:/Users/MOTIUR%20RAHMAN/Downloads/Slider/template.makedreamwebsite.com/wp-content/plugins/elementor/assets/js/webpack.runtime.minb73d.js	(from https://template.makedreamwebsite.com/advanced-slider-with-card-carousel/)
00:16:09	13577/13577	---M--	200	added ('OK')	application/javascript	date:Wed,%2009%20Aug%202023%2007:38:00%20GMT	https://template.makedreamwebsite.com/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1	C:/Users/MOTIUR%20RAHMAN/Downloads/Slider/template.makedreamwebsite.com/wp-includes/js/jquery/jquery-migrate.min5589.js	(from https://template.makedreamwebsite.com/advanced-slider-with-card-carousel/)
00:16:09	87482/87482	---M--	200	added ('OK')	application/javascript	date:Wed,%2009%20Aug%202023%2007:38:00%20GMT	https://template.makedreamwebsite.com/wp-includes/js/jquery/jquery.min.js?ver=3.7.0	C:/Users/MOTIUR%20RAHMAN/Downloads/Slider/template.makedreamwebsite.com/wp-includes/js/jquery/jquery.min3088.js	(from https://template.makedreamwebsite.com/advanced-slider-with-card-carousel/)
00:16:11	56154/56154	---M--	200	added ('OK')	application/javascript	date:Sun,%2020%20Aug%202023%2014:23:05%20GMT	https://template.makedreamwebsite.com/wp-content/plugins/elementor/assets/js/frontend-modules.min.js?ver=3.15.3	C:/Users/MOTIUR%20RAHMAN/Downloads/Slider/template.makedreamwebsite.com/wp-content/plugins/elementor/assets/js/frontend-modules.minb73d.js	(from https://template.makedreamwebsite.com/advanced-slider-with-card-carousel/)
00:16:11	8171/8171	---M--	200	added ('OK')	application/javascript	date:Wed,%2029%20Mar%202023%2019:48:45%20GMT	https://template.makedreamwebsite.com/wp-includes/js/dist/vendor/wp-polyfill-inert.min.js?ver=3.1.2	C:/Users/MOTIUR%20RAHMAN/Downloads/Slider/template.makedreamwebsite.com/wp-includes/js/dist/vendor/wp-polyfill-inert.min0226.js	(from https://template.makedreamwebsite.com/advanced-slider-with-card-carousel/)
00:16:12	6607/6607	---M--	200	added ('OK')	application/javascript	date:Wed,%2029%20Mar%202023%2019:48:45%20GMT	https://template.makedreamwebsite.com/wp-includes/js/dist/vendor/regenerator-runtime.min.js?ver=0.13.11	C:/Users/MOTIUR%20RAHMAN/Downloads/Slider/template.makedreamwebsite.com/wp-includes/js/dist/vendor/regenerator-runtime.min8fa4.js	(from https://template.makedreamwebsite.com/advanced-slider-with-card-carousel/)
00:16:14	16146/16146	---M--	200	added ('OK')	application/javascript	date:Wed,%2009%20Aug%202023%2007:38:00%20GMT	https://template.makedreamwebsite.com/wp-includes/js/dist/vendor/wp-polyfill.min.js?ver=3.15.0	C:/Users/MOTIUR%20RAHMAN/Downloads/Slider/template.makedreamwebsite.com/wp-includes/js/dist/vendor/wp-polyfill.min2c7c.js	(from https://template.makedreamwebsite.com/advanced-slider-with-card-carousel/)
00:16:15	4627/4627	---M--	200	added ('OK')	application/javascript	date:Wed,%2009%20Aug%202023%2007:38:00%20GMT	https://template.makedreamwebsite.com/wp-includes/js/dist/hooks.min.js?ver=c6aec9a8d4e5a5d543a1	C:/Users/MOTIUR%20RAHMAN/Downloads/Slider/template.makedreamwebsite.com/wp-includes/js/dist/hooks.min2ebd.js	(from https://template.makedreamwebsite.com/advanced-slider-with-card-carousel/)
00:16:16	9445/9445	---M--	200	added ('OK')	application/javascript	date:Wed,%2009%20Aug%202023%2007:38:00%20GMT	https://template.makedreamwebsite.com/wp-includes/js/dist/i18n.min.js?ver=7701b0c3857f914212ef	C:/Users/MOTIUR%20RAHMAN/Downloads/Slider/template.makedreamwebsite.com/wp-includes/js/dist/i18n.minf92f.js	(from https://template.makedreamwebsite.com/advanced-slider-with-card-carousel/)
00:16:20	12198/12198	---M--	200	added ('OK')	application/javascript	date:Sun,%2020%20Aug%202023%2014:23:05%20GMT	https://template.makedreamwebsite.com/wp-content/plugins/elementor/assets/lib/waypoints/waypoints.min.js?ver=4.0.2	C:/Users/MOTIUR%20RAHMAN/Downloads/Slider/template.makedreamwebsite.com/wp-content/plugins/elementor/assets/lib/waypoints/waypoints.min05da.js	(from https://template.makedreamwebsite.com/advanced-slider-with-card-carousel/)
00:16:20	21563/21563	---M--	200	added ('OK')	application/javascript	date:Wed,%2007%20Dec%202022%2023:33:12%20GMT	https://template.makedreamwebsite.com/wp-content/plugins/elementor-pro/assets/js/frontend.min.js?ver=3.8.2	C:/Users/MOTIUR%20RAHMAN/Downloads/Slider/template.makedreamwebsite.com/wp-content/plugins/elementor-pro/assets/js/frontend.min3fd0.js	(from https://template.makedreamwebsite.com/advanced-slider-with-card-carousel/)
00:16:21	21438/21438	---M--	200	added ('OK')	application/javascript	date:Wed,%2029%20Mar%202023%2019:48:45%20GMT	https://template.makedreamwebsite.com/wp-includes/js/jquery/ui/core.min.js?ver=1.13.2	C:/Users/MOTIUR%20RAHMAN/Downloads/Slider/template.makedreamwebsite.com/wp-includes/js/jquery/ui/core.min3f14.js	(from https://template.makedreamwebsite.com/advanced-slider-with-card-carousel/)
00:16:22	40746/40746	---M--	200	added ('OK')	application/javascript	date:Sun,%2020%20Aug%202023%2014:23:05%20GMT	https://template.makedreamwebsite.com/wp-content/plugins/elementor/assets/js/frontend.min.js?ver=3.15.3	C:/Users/MOTIUR%20RAHMAN/Downloads/Slider/template.makedreamwebsite.com/wp-content/plugins/elementor/assets/js/frontend.minb73d.js	(from https://template.makedreamwebsite.com/advanced-slider-with-card-carousel/)
00:16:24	24796/24796	---M--	200	added ('OK')	application/javascript	date:Wed,%2007%20Dec%202022%2023:33:12%20GMT	https://template.makedreamwebsite.com/wp-content/plugins/elementor-pro/assets/js/elements-handlers.min.js?ver=3.8.2	C:/Users/MOTIUR%20RAHMAN/Downloads/Slider/template.makedreamwebsite.com/wp-content/plugins/elementor-pro/assets/js/elements-handlers.min3fd0.js	(from https://template.makedreamwebsite.com/advanced-slider-with-card-carousel/)
